x,y
3.92,2317.72
5.50,2331.10
4.23,2344.27
4.89,2356.13
4.35,2367.98
3.29,2381.91
5.58,2396.07
3.92,2408.31
4.70,2420.59
4.56,2435.54
4.27,2446.92
4.64,2460.43
4.78,2473.79
5.22,2484.94
4.55,2497.90
5.13,2511.82
4.45,2524.63
4.26,2538.57
5.75,2550.01
4.12,2562.92
4.47,2575.61
4.58,2589.22
5.05,2601.02
3.95,2614.14
5.21,2627.47
5.74,2640.14
5.29,2653.48
4.23,2665.85
5.86,2679.39
5.17,2691.90
5.49,2704.67
5.50,2718.41
5.09,2731.17
5.44,2743.48
5.76,2757.03
5.95,2769.48
5.42,2781.82
6.54,2795.21
5.64,2808.25
6.33,2821.55
5.35,2833.55
6.17,2846.58
6.24,2859.43
5.25,2873.00
5.52,2885.20
6.78,2898.48
5.25,2911.75
5.98,2924.39
6.01,2936.00
6.50,2949.49
6.62,2962.60
5.66,2975.85
5.82,2989.09
5.45,3001.36
5.41,3014.61
5.52,3028.73
6.33,3041.11
6.03,3052.30
5.21,3066.05
5.83,3078.54
5.57,3092.00
7.03,3104.01
6.05,3117.53
5.90,3130.51
5.82,3143.61
5.95,3155.60
5.64,3169.06
6.26,3181.64
6.06,3195.29
6.72,3208.02
6.43,3220.72
6.47,3233.57
6.53,3247.12
7.46,3259.37
7.10,3272.08
7.30,3285.56
6.68,3298.11
7.20,3310.89
6.27,3323.87
6.13,3336.76
6.90,3349.56
6.67,3362.68
6.41,3376.05
7.07,3388.52
8.11,3400.13
6.85,3414.39
6.81,3426.89
6.09,3439.84
6.69,3452.94
7.31,3466.06
7.36,3478.67
5.85,3491.69
7.00,3505.09
7.76,3516.76
7.82,3531.08
6.11,3542.69
6.97,3555.90
7.05,3568.50
7.58,3581.44
8.11,3593.76
8.25,3608.52
7.46,3620.21
7.21,3633.47
7.28,3646.33
7.09,3659.84
7.44,3671.94
7.34,3684.11
7.38,3697.80
7.40,3711.04
7.67,3724.27
7.04,3736.17
7.73,3749.07
7.45,3762.19
7.28,3775.05
7.81,3787.13
7.80,3801.62
7.26,3813.23
8.54,3826.78
7.31,3839.93
7.96,3852.13
7.79,3865.50
8.03,3878.53
7.26,3890.86
7.45,3905.06
7.71,3917.67
8.30,3929.32
7.61,3942.43
7.63,3955.95
7.83,3969.00
7.32,3981.73
7.80,3994.54
8.07,4006.57
8.73,4020.62
8.53,4032.88
7.93,4045.47
7.83,4059.07
8.45,4071.44
7.91,4085.21
8.60,4097.26
8.59,4109.89
8.00,4123.68
7.95,4135.82
8.12,4149.06
7.89,4162.00
8.19,4175.07
8.36,4187.69
8.20,4200.33
8.94,4213.81
8.33,4226.11
8.95,4239.22
8.66,4252.01
8.39,4265.23
9.06,4278.55
8.71,4290.58
8.98,4303.77
8.99,4316.52
9.60,4329.76
9.18,4342.33
8.96,4355.99
8.64,4368.24
8.36,4381.12
8.41,4393.93
8.80,4406.40
8.98,4419.89
8.78,4432.16
8.69,4445.15
9.13,4458.69
9.25,4470.95
9.13,4484.43
8.82,4497.39
8.95,4509.75
